wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
225.5,0.05188514,8.58E-04
226.5,0.03635068,6.11E-04
227.5,0.03691253,6.21E-04
228.5,0.05283643,8.67E-04
229.5,0.04477074,7.34E-04
230.5,0.05465518,8.89E-04
231.5,0.0471995,7.71E-04
232.5,0.05076341,8.15E-04
233.5,0.04269385,7.13E-04
234.5,0.03464881,5.99E-04
235.5,0.05553777,9.73E-04
236.5,0.04294133,7.91E-04
237.5,0.05189187,9.47E-04
238.5,0.03577444,7.05E-04
239.5,0.04404834,8.82E-04
240.5,0.04045051,8.37E-04
241.5,0.04728998,9.92E-04
242.5,0.07064663,0.0014639
243.5,0.06411929,0.0012721
244.5,0.06123813,0.0011696
245.5,0.0483252,8.84E-04
246.5,0.04829823,8.54E-04
247.5,0.05571229,9.68E-04
248.5,0.04316391,7.43E-04
249.5,0.05503669,0.001001
250.5,0.05795013,0.0010835
251.5,0.04482989,8.55E-04
252.5,0.039597,7.62E-04
253.5,0.05080686,9.82E-04
254.5,0.05649043,0.0011035
255.5,0.08015453,0.0015634
256.5,0.09601868,0.0019204
257.5,0.1192849,0.0023422
258.5,0.1267217,0.0024846
259.5,0.1057938,0.0020597
260.5,0.08619446,0.0016245
261.5,0.08430545,0.0014948
262.5,0.1065583,0.0018455
263.5,0.1555582,0.0026752
264.5,0.242153,0.0041465
265.5,0.2522693,0.0044011
266.5,0.2445993,0.0043031
267.5,0.2445976,0.0043057
268.5,0.2439054,0.004316
269.5,0.2171328,0.0038256
270.5,0.273223,0.0047702
271.5,0.2270165,0.0038447
272.5,0.1808147,0.003099
273.5,0.2057189,0.003647
274.5,0.1212924,0.0022967
275.5,0.1741545,0.0033639
276.5,0.2406755,0.0051386
277.5,0.2392577,0.005321
278.5,0.1575808,0.0036869
279.5,0.07625737,0.0017505
280.5,0.08803458,0.00189
281.5,0.2037091,0.0043684
282.5,0.282915,0.0059762
283.5,0.3133206,0.0067645
284.5,0.2397357,0.0054579
285.5,0.1225705,0.0027788
286.5,0.323969,0.007414
287.5,0.3530444,0.0078342
288.5,0.2919897,0.0060613
289.5,0.4339966,0.0086597
290.5,0.5798218,0.011945
291.5,0.5378348,0.011303
292.5,0.4678576,0.01024
293.5,0.5295992,0.011218
294.5,0.4768703,0.0095143
295.5,0.5333265,0.0095676
296.5,0.4728291,0.0086355
297.5,0.5059879,0.0095496
298.5,0.3737858,0.007616
299.5,0.5199137,0.011263
300.5,0.343984,0.0074634
301.5,0.4677,0.010828
302.5,0.4580727,0.011091
303.5,0.5981574,0.015594
304.5,0.5644625,0.01522
305.5,0.5896032,0.018784
306.5,0.5364635,0.018347001
307.5,0.618451,0.022817999
308.5,0.6229032,0.025002001
309.5,0.4712527,0.019553
310.25,0.5755738,0.0056048
310.48,0.6272224,0.005569
310.71,0.671715,0.0055332
310.95,0.7015456,0.0054961
311.18,0.7181205,0.0054607
311.42,0.7235097,0.0054239
311.65,0.7134049,0.0053887
311.89,0.6934455,0.0053522
312.12,0.6774029,0.0053173
312.36,0.6672212,0.0052811
312.6,0.664672,0.005245
312.84,0.6713282,0.0052091
313.08,0.6838759,0.0051733
313.32,0.6893483,0.0051377
313.56,0.6913463,0.0051023
313.8,0.6920429,0.0050669
314.04,0.6895088,0.0050318
314.28,0.6845089,0.0049968
314.53,0.6745728,0.0049605
314.77,0.6656376,0.0049258
315.02,0.6542236,0.0048898
315.26,0.6412374,0.0048554
315.51,0.6250752,0.0048198
315.75,0.6140772,0.0047857
316,0.6146635,0.0047504
316.25,0.6270659,0.0047152
316.5,0.6535874,0.0046802
316.75,0.6842457,0.0046454
317,0.7114355,0.0046107
317.25,0.7292808,0.0045762
317.5,0.7371064,0.0045419
317.75,0.7305648,0.0045077
318.01,0.7099948,0.0044723
318.26,0.6881575,0.0044385
318.51,0.6777219,0.0044048
318.77,0.6760026,0.00437
319.02,0.6834415,0.0043366
319.28,0.697679,0.0043022
319.54,0.7220845,0.0042678
319.8,0.7466056,0.0042337
320.06,0.7606943,0.0041998
320.32,0.7658839,0.004166
320.58,0.7643106,0.0041301
320.84,0.7578301,0.0040967
321.1,0.7433258,0.0040634
321.36,0.7260585,0.0040304
321.62,0.7122062,0.0039975
321.89,0.702284,0.0039635
322.15,0.6942474,0.003931
322.42,0.6828334,0.0038975
322.69,0.6738667,0.0038641
322.95,0.6700683,0.0038321
323.22,0.6739128,0.0037991
323.49,0.6826251,0.0037663
323.76,0.6968389,0.0037337
324.03,0.7172053,0.0037013
324.3,0.7448827,0.0036691
324.57,0.7740777,0.003637
324.85,0.8042759,0.003604
325.12,0.8341381,0.0035724
325.39,0.8690975,0.0035409
325.67,0.9059953,0.0048437
325.94,0.9350766,0.0047863
326.22,0.9570714,0.0047275
326.5,0.9709175,0.0046692
326.78,0.9768367,0.0046115
327.06,0.9746425,0.0045545
327.34,0.9619154,0.004498
327.62,0.9500472,0.0044421
327.9,0.9439226,0.0050782
328.18,0.9442716,0.0050212
328.47,0.9539827,0.0049629
328.75,0.9695236,0.0049072
329.04,0.9950806,0.0048501
329.32,1.017344,0.0047956
329.61,1.036025,0.0047399
329.9,1.044471,0.0046847
330.19,1.040106,0.0046302
330.48,1.027288,0.0045764
330.77,1.011789,0.0045232
331.06,0.9942345,0.0044707
331.35,0.9812331,0.0044188
331.64,0.9724388,0.0043676
331.94,0.9680265,0.0043153
332.23,0.9630844,0.0042654
332.53,0.9558656,0.0042144
332.83,0.9490878,0.0041642
333.12,0.9452207,0.0041163
333.42,0.9417322,0.0040674
333.72,0.9402939,0.0046329
334.02,0.9486185,0.0045773
334.32,0.9605803,0.0045224
334.63,0.9606782,0.0044664
334.93,0.9549775,0.004413
335.23,0.9497361,0.0043603
335.54,0.9326852,0.0043067
335.85,0.900887,0.0042538
336.15,0.8727317,0.0042034
336.46,0.8581938,0.0046067
336.77,0.8515645,0.0045501
337.08,0.8474122,0.0044944
337.39,0.858522,0.0044396
337.71,0.8818069,0.0043838
338.02,0.9006037,0.0043306
338.33,0.9156177,0.0042782
338.65,0.9406146,0.004225
338.96,0.9640627,0.0041743
339.28,0.9777286,0.0041228
339.6,0.9886997,0.0040722
339.92,1.002103,0.0040225
340.24,1.00501,0.0039737
340.56,1.000147,0.0039257
340.88,0.9920971,0.0038787
341.21,0.9857258,0.0038311
341.53,0.9833738,0.0037858
341.86,0.9867285,0.00374
342.18,0.994653,0.0036965
342.51,0.9945181,0.0036526
342.84,0.9846976,0.0036096
343.17,0.9678092,0.0035675
343.5,0.9462698,0.0035264
343.83,0.9195676,0.0034862
344.17,0.8968301,0.0034457
344.5,0.8868043,0.0034074
344.84,0.892683,0.003369
345.17,0.9059826,0.0033326
345.51,0.921787,0.0032961
345.85,0.9344411,0.0032605
346.19,0.9425734,0.003226
346.53,0.9488268,0.0031925
346.88,0.9474679,0.003159
347.22,0.9426452,0.0031274
347.56,0.9332491,0.0030969
347.91,0.9276763,0.0030665
348.26,0.9261677,0.0030372
348.6,0.9282749,0.0030097
348.95,0.9350399,0.0029824
349.3,0.9483984,0.0029562
349.66,0.9687223,0.0029303
350.01,0.9894692,0.0029062
350.36,1.013398,0.0028832
350.72,1.021267,0.0028606
351.08,1.015548,0.0028392
351.43,1.008812,0.0028194
351.79,1.003022,0.0028001
352.15,0.9943154,0.0027819
352.52,0.9911693,0.0027644
352.88,1.005343,0.0027485
353.24,1.033845,0.0027337
353.61,1.061956,0.0027196
353.98,1.082919,0.0027068
354.34,1.101283,0.0026954
354.71,1.110974,0.0026848
355.08,1.0986,0.0026755
355.46,1.069213,0.0026671
355.83,1.036256,0.0026601
356.2,0.998229,0.0026543
356.58,0.9482483,0.0026494
356.96,0.894631,0.0026449
357.34,0.8580404,0.0026404
357.72,0.8389967,0.0026358
358.1,0.8335256,0.0026311
358.48,0.8460609,0.0026262
358.86,0.8785492,0.0026212
359.25,0.9200411,0.0026159
359.64,0.9576065,0.0026105
360.03,0.9782334,0.002605
360.42,0.9832025,0.0025994
360.81,0.9839801,0.0025936
361.2,0.982223,0.0025877
361.59,0.9763199,0.0025817
361.99,0.9779596,0.0025754
362.39,0.9927398,0.002569
362.79,1.012801,0.0025624
363.19,1.022769,0.0025557
363.59,1.035673,0.0025488
363.99,1.058919,0.0025419
364.39,1.082312,0.0025347
364.8,1.103449,0.0025273
365.21,1.134657,0.0025197
365.62,1.17708,0.002512
366.03,1.205175,0.0025042
366.44,1.217685,0.0024962
366.85,1.220997,0.002488
367.27,1.220775,0.0024795
367.69,1.214164,0.0024709
368.1,1.208303,0.0024623
368.52,1.203672,0.0024534
368.95,1.2034,0.0024441
369.37,1.215037,0.0024349
369.79,1.223864,0.0024255
370.22,1.217232,0.0024157
370.65,1.204891,0.0024058
371.08,1.193755,0.0023958
371.51,1.170146,0.0023856
371.94,1.131446,0.0023752
372.38,1.091952,0.0023644
372.81,1.054925,0.0023537
373.25,1.022506,0.0023426
373.69,0.9960161,0.0023313
374.13,0.9862144,0.0023199
374.58,0.9918059,0.0023081
375.02,1.00828,0.0022963
375.47,1.044123,0.0022841
