wavelength (nm),irradiance (W/m^2/nm),
553.8,1.873271,
555.29,1.866116,
556.79,1.857872,
558.3,1.849824,
559.82,1.845383,
561.36,1.843387,
562.9,1.840814,
564.46,1.839929,
566.03,1.84115,
567.61,1.842591,
569.21,1.843223,
570.81,1.843842,
572.43,1.844821,
574.06,1.845719,
575.71,1.845129,
577.37,1.842707,
579.04,1.839891,
580.72,1.83331,
582.42,1.824377,
584.13,1.814994,
585.86,1.805227,
587.59,1.796146,
589.35,1.78862,
591.11,1.784114,
592.9,1.78074,
594.69,1.777626,
596.5,1.774594,
598.33,1.770748,
600.17,1.764923,
602.03,1.757509,
603.9,1.749466,
605.78,1.739665,
607.69,1.727471,
609.6,1.715852,
611.54,1.704931,
613.49,1.693861,
615.46,1.683637,
617.44,1.676841,
619.44,1.672118,
621.46,1.666436,
623.49,1.660328,
625.54,1.655009,
627.61,1.650149,
629.7,1.643217,
631.81,1.635417,
633.93,1.628628,
636.07,1.621747,
638.23,1.613733,
640.41,1.605279,
642.61,1.597077,
644.82,1.58468,
647.06,1.570946,
649.31,1.55794,
651.59,1.545976,
653.88,1.534714,
656.2,1.526552,
658.53,1.524112,
660.89,1.523987,
663.27,1.523255,
665.66,1.52149,
668.08,1.519545,
670.52,1.514765,
672.99,1.506579,
675.47,1.498267,
677.98,1.489685,
680.5,1.480597,
683.06,1.471338,
685.63,1.462032,
688.23,1.452199,
690.85,1.442116,
693.49,1.43198,
696.16,1.422083,
698.85,1.412307,
701.56,1.402685,
704.3,1.393167,
707.07,1.383153,
709.85,1.373112,
712.67,1.362791,
715.51,1.352281,
718.37,1.342199,
721.26,1.33267,
724.18,1.323399,
727.12,1.31388,
730.09,1.304807,
733.08,1.296211,
736.1,1.287335,
739.15,1.278544,
742.22,1.2705,
745.33,1.263252,
748.46,1.255663,
751.61,1.247588,
754.8,1.239619,
758.01,1.231109,
761.26,1.222085,
764.53,1.212829,
767.83,1.204166,
771.15,1.196105,
774.51,1.187773,
777.9,1.179237,
781.31,1.170714,
784.76,1.16178,
788.23,1.152099,
791.73,1.142081,
795.27,1.132649,
798.83,1.123409,
802.42,1.113566,
806.05,1.104064,
809.7,1.095151,
813.39,1.085852,
817.1,1.076181,
820.85,1.066976,
824.62,1.058469,
828.43,1.04928,
832.26,1.038494,
836.13,1.026937,
840.03,1.015953,
843.96,1.00362,
847.92,0.9904381,
851.91,0.9789225,
855.93,0.9697992,
859.99,0.9620497,
864.07,0.954714,
868.18,0.9492477,
872.33,0.9452995,
876.5,0.9404017,
880.71,0.9344276,
884.94,0.9286402,
889.21,0.9223526,
893.5,0.9149815,
897.83,0.9068259,
902.19,0.8982036,
906.57,0.8898535,
910.99,0.8818165,
915.43,0.8736237,
919.91,0.8650196,
924.41,0.8569144,
928.94,0.8490055,
933.5,0.8406407,
938.09,0.8318774,
942.7,0.8241643,
947.35,0.817321,
952.74,0.8075207,
957.41,0.8003133,
962.11,0.794283,
966.83,0.7887712,
971.58,0.7828557,
976.35,0.7762973,
981.15,0.7688373,
985.98,0.7612841,
990.82,0.7535508,
995.7,0.7456046,
1000.59,0.7380353,
1005.51,0.730994,
1010.45,0.7245609,
1015.42,0.7177348,
1020.41,0.7111457,
1025.41,0.7047606,
1030.44,0.6981226,
1035.49,0.6911299,
1040.57,0.6838995,
1045.66,0.6766182,
1050.77,0.66905,
1055.9,0.6608048,
1061.04,0.6523258,
1066.21,0.6437122,
1071.39,0.6352201,
1076.59,0.6273595,
1081.81,0.6201711,
1087.04,0.613933,
1092.29,0.6083379,
1097.55,0.6030174,
1102.83,0.5980876,
1108.13,0.5929232,
1113.43,0.5874879,
1118.75,0.5819085,
1124.09,0.5761237,
1129.43,0.5702493,
1134.79,0.564379,
1140.16,0.5586003,
1145.53,0.5529178,
1150.92,0.5469127,
1156.32,0.5408301,
1161.73,0.5349031,
1167.15,0.5289371,
1172.57,0.5228155,
1178.01,0.5170094,
1183.45,0.5115162,
1188.9,0.506453,
1194.35,0.5016059,
1199.82,0.497051,
1205.28,0.493021,
1210.76,0.4890551,
1216.23,0.4851171,
1221.72,0.4810273,
1227.2,0.4768514,
1232.69,0.4724261,
1238.19,0.4678645,
1243.68,0.4632612,
1249.18,0.4582826,
1254.68,0.4531075,
1260.19,0.4481308,
1265.69,0.4433191,
1271.2,0.4387102,
1276.7,0.4344287,
1282.21,0.4305915,
1287.72,0.4272543,
1293.22,0.4238107,
1298.73,0.4203896,
1304.24,0.4168724,
1309.74,0.4133722,
1315.24,0.4098269,
1320.74,0.4063045,
1326.24,0.4028045,
1331.74,0.3993259,
1337.23,0.3958967,
1342.72,0.3922858,
1348.21,0.3886269,
1353.69,0.385023,
1359.17,0.3814039,
1364.64,0.3779175,
1370.12,0.3745713,
1375.58,0.3713526,
1381.04,0.368052,
1386.5,0.3647199,
1391.95,0.3613052,
1397.4,0.3577991,
1402.84,0.3542614,
1408.28,0.3507231,
1413.71,0.3472609,
1419.13,0.3438939,
1424.55,0.3405727,
1429.96,0.3374539,
1435.36,0.3344837,
1440.76,0.3316392,
1446.15,0.3290124,
1451.54,0.3263691,
1456.91,0.3236104,
1462.28,0.3208772,
1467.64,0.3179819,
1473,0.3147391,
1478.34,0.3115274,
1483.68,0.3085759,
1489.01,0.3058511,
1494.33,0.3033944,
1499.65,0.3012203,
1504.95,0.2995298,
1510.25,0.2979255,
1515.54,0.2961494,
1520.82,0.2943399,
1526.09,0.2923245,
1531.36,0.289843,
1536.61,0.2870852,
1541.86,0.2840782,
1547.09,0.2806628,
1552.32,0.2771104,
1557.54,0.2733583,
1562.75,0.2697417,
1567.95,0.2663936,
1573.14,0.2635109,
1578.32,0.2611538,
1583.49,0.2590213,
1588.65,0.2570673,
1593.8,0.2554297,
1598.95,0.2537608,
1601.18,0.2513805,
1616.86,0.2460157,
1632.42,0.2397419,
1647.91,0.2342218,
1663.31,0.2272525,
1678.61,0.2212111,
1693.82,0.21557,
1708.93,0.2080002,
1723.95,0.2004778,
1738.86,0.195165,
1753.69,0.190149,
1768.43,0.1848426,
1783.07,0.1784832,
1797.62,0.1728555,
1812.08,0.1687745,
1826.44,0.1641081,
1840.72,0.1601401,
1854.9,0.1553334,
1869,0.1495685,
1883,0.148171,
1896.92,0.1454702,
1910.75,0.1416933,
1924.48,0.1358095,
1938.13,0.132162,
1951.71,0.1301903,
1965.19,0.1273233,
1978.59,0.1245665,
1991.92,0.1220119,
2005.15,0.120035,
2018.31,0.1175278,
2031.38,0.11481,
2044.38,0.1124839,
2057.3,0.1091877,
2070.13,0.1073301,
2082.89,0.1050277,
2095.58,0.1012496,
2108.19,0.09925998,
2120.73,0.09752781,
2133.2,0.09627846,
2145.59,0.09243464,
2157.91,0.0909324,
2170.15,0.09028316,
2182.34,0.0887922,
2194.44,0.08606865,
2206.48,0.08552259,
2218.45,0.08409761,
2230.36,0.08231955,
2242.2,0.08023685,
2253.97,0.07819523,
2265.68,0.07684957,
2277.33,0.07541571,
2288.91,0.07399588,
2300.43,0.07302453,
2311.89,0.07135015,
2323.28,0.06964489,
2334.63,0.06773136,
2345.9,0.06698233,
2357.11,0.06606159,
2368.28,0.06297373,
