time (Julian Date),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),
2452788,309.5,0.4712527,0.019553,
2452788,310.25,0.5755738,0.0056048,
2452788,310.48,0.6272224,0.005569,
2452788,310.71,0.671715,0.0055332,
2452788,310.95,0.7015456,0.0054961,
2452788,311.18,0.7181205,0.0054607,
2452788,311.42,0.7235097,0.0054239,
2452788,311.65,0.7134049,0.0053887,
2452788,311.89,0.6934455,0.0053522,
2452788,312.12,0.6774029,0.0053173,
2452788,312.36,0.6672212,0.0052811,
2452788,312.6,0.664672,0.005245,
2452788,312.84,0.6713282,0.0052091,
2452788,313.08,0.6838759,0.0051733,
2452788,313.32,0.6893483,0.0051377,
2452788,313.56,0.6913463,0.0051023,
2452788,313.8,0.6920429,0.0050669,
2452788,314.04,0.6895088,0.0050318,
2452788,314.28,0.6845089,0.0049968,
2452788,314.53,0.6745728,0.0049605,
2452788,314.77,0.6656376,0.0049258,
2452788,315.02,0.6542236,0.0048898,
2452788,315.26,0.6412374,0.0048554,
2452788,315.51,0.6250752,0.0048198,
2452788,315.75,0.6140772,0.0047857,
2452788,316,0.6146635,0.0047504,
2452788,316.25,0.6270659,0.0047152,
2452788,316.5,0.6535874,0.0046802,
2452788,316.75,0.6842457,0.0046454,
2452788,317,0.7114355,0.0046107,
2452788,317.25,0.7292808,0.0045762,
2452788,317.5,0.7371064,0.0045419,
2452788,317.75,0.7305648,0.0045077,
2452788,318.01,0.7099948,0.0044723,
2452788,318.26,0.6881575,0.0044385,
2452788,318.51,0.6777219,0.0044048,
2452788,318.77,0.6760026,0.00437,
2452788,319.02,0.6834415,0.0043366,
2452788,319.28,0.697679,0.0043022,
2452788,319.54,0.7220845,0.0042678,
2452788,319.8,0.7466056,0.0042337,
2452788,320.06,0.7606943,0.0041998,
2452788,320.32,0.7658839,0.004166,
2452788,320.58,0.7643106,0.0041301,
2452788,320.84,0.7578301,0.0040967,
2452788,321.1,0.7433258,0.0040634,
2452788,321.36,0.7260585,0.0040304,
2452788,321.62,0.7122062,0.0039975,
2452788,321.89,0.702284,0.0039635,
2452788,322.15,0.6942474,0.003931,
2452788,322.42,0.6828334,0.0038975,
2452788,322.69,0.6738667,0.0038641,
2452788,322.95,0.6700683,0.0038321,
2452788,323.22,0.6739128,0.0037991,
2452788,323.49,0.6826251,0.0037663,
2452788,323.76,0.6968389,0.0037337,
2452788,324.03,0.7172053,0.0037013,
2452788,324.3,0.7448827,0.0036691,
2452788,324.57,0.7740777,0.003637,
2452788,324.85,0.8042759,0.003604,
2452788,325.12,0.8341381,0.0035724,
2452788,325.39,0.8690975,0.0035409,
2452788,325.67,0.9059953,0.0048437,
2452788,325.94,0.9350766,0.0047863,
2452788,326.22,0.9570714,0.0047275,
2452788,326.5,0.9709175,0.0046692,
2452788,326.78,0.9768367,0.0046115,
2452788,327.06,0.9746425,0.0045545,
2452788,327.34,0.9619154,0.004498,
2452788,327.62,0.9500472,0.0044421,
2452788,327.9,0.9439226,0.0050782,
2452788,328.18,0.9442716,0.0050212,
2452788,328.47,0.9539827,0.0049629,
2452788,328.75,0.9695236,0.0049072,
2452788,329.04,0.9950806,0.0048501,
2452788,329.32,1.017344,0.0047956,
2452788,329.61,1.036025,0.0047399,
2452788,329.9,1.044471,0.0046847,
2452788,330.19,1.040106,0.0046302,
2452788,330.48,1.027288,0.0045764,
2452788,330.77,1.011789,0.0045232,
2452788,331.06,0.9942345,0.0044707,
2452788,331.35,0.9812331,0.0044188,
2452788,331.64,0.9724388,0.0043676,
2452788,331.94,0.9680265,0.0043153,
2452788,332.23,0.9630844,0.0042654,
2452788,332.53,0.9558656,0.0042144,
2452788,332.83,0.9490878,0.0041642,
2452788,333.12,0.9452207,0.0041163,
2452788,333.42,0.9417322,0.0040674,
2452788,333.72,0.9402939,0.0046329,
2452788,334.02,0.9486185,0.0045773,
2452788,334.32,0.9605803,0.0045224,
2452788,334.63,0.9606782,0.0044664,
2452788,334.93,0.9549775,0.004413,
2452788,335.23,0.9497361,0.0043603,
2452788,335.54,0.9326852,0.0043067,
2452788,335.85,0.900887,0.0042538,
2452788,336.15,0.8727317,0.0042034,
2452788,336.46,0.8581938,0.0046067,
2452788,336.77,0.8515645,0.0045501,
2452788,337.08,0.8474122,0.0044944,
2452788,337.39,0.858522,0.0044396,
2452788,337.71,0.8818069,0.0043838,
2452788,338.02,0.9006037,0.0043306,
2452788,338.33,0.9156177,0.0042782,
2452788,338.65,0.9406146,0.004225,
2452788,338.96,0.9640627,0.0041743,
2452788,339.28,0.9777286,0.0041228,
2452788,339.6,0.9886997,0.0040722,
2452788,339.92,1.002103,0.0040225,
2452788,340.24,1.00501,0.0039737,
2452788,340.56,1.000147,0.0039257,
2452788,340.88,0.9920971,0.0038787,
2452788,341.21,0.9857258,0.0038311,
2452788,341.53,0.9833738,0.0037858,
2452788,341.86,0.9867285,0.00374,
2452788,342.18,0.994653,0.0036965,
2452788,342.51,0.9945181,0.0036526,
2452788,342.84,0.9846976,0.0036096,
2452788,343.17,0.9678092,0.0035675,
2452788,343.5,0.9462698,0.0035264,
2452788,343.83,0.9195676,0.0034862,
2452788,344.17,0.8968301,0.0034457,
2452788,344.5,0.8868043,0.0034074,
2452788,344.84,0.892683,0.003369,
2452788,345.17,0.9059826,0.0033326,
2452788,345.51,0.921787,0.0032961,
2452788,345.85,0.9344411,0.0032605,
2452788,346.19,0.9425734,0.003226,
2452788,346.53,0.9488268,0.0031925,
2452788,346.88,0.9474679,0.003159,
2452788,347.22,0.9426452,0.0031274,
2452788,347.56,0.9332491,0.0030969,
2452788,347.91,0.9276763,0.0030665,
2452788,348.26,0.9261677,0.0030372,
2452788,348.6,0.9282749,0.0030097,
2452788,348.95,0.9350399,0.0029824,
2452788,349.3,0.9483984,0.0029562,
